# ----------------------------------------
# otonect-open
# Untitled Analysis-Cohort analysis 1
# 20201118-20201217
# ----------------------------------------

Weekly cohort,Cohort,Screen class,Cohort total users,Active users,(Active users / Cohort total users)
,,,,,,Grand total
0001,20201129-20201205,date_range_0,0.16,RESERVED_TOTAL,25,4
0000,RESERVED_TOTAL,date_range_0,1,RESERVED_TOTAL,173,173
0000,20201213-20201217,date_range_0,1,RESERVED_TOTAL,49,49
0000,20201206-20201212,date_range_0,1,RESERVED_TOTAL,60,60
0003,20201118-20201121,date_range_0,0.0967741935483871,RESERVED_TOTAL,31,3
0000,20201129-20201205,date_range_0,1,RESERVED_TOTAL,26,26
0001,20201122-20201128,date_range_0,0.06666666666666667,RESERVED_TOTAL,30,2
0002,RESERVED_TOTAL,date_range_0,0.037037037037037035,RESERVED_TOTAL,54,2
0000,20201118-20201121,date_range_0,1,RESERVED_TOTAL,31,31
0004,RESERVED_TOTAL,date_range_0,0.0967741935483871,RESERVED_TOTAL,31,3
0003,RESERVED_TOTAL,date_range_0,0.08620689655172414,RESERVED_TOTAL,58,5
0001,20201206-20201212,date_range_0,0.08333333333333333,RESERVED_TOTAL,60,5
0002,20201129-20201205,date_range_0,0.04,RESERVED_TOTAL,25,1
0003,20201122-20201128,date_range_0,0.06666666666666667,RESERVED_TOTAL,30,2
0000,20201122-20201128,date_range_0,1,RESERVED_TOTAL,30,30
0004,20201118-20201121,date_range_0,0.0967741935483871,RESERVED_TOTAL,31,3
0002,20201118-20201121,date_range_0,0.06451612903225806,RESERVED_TOTAL,31,2
0001,RESERVED_TOTAL,date_range_0,0.10526315789473684,RESERVED_TOTAL,133,14
0001,20201118-20201121,date_range_0,0.0967741935483871,RESERVED_TOTAL,31,3
0000,20201118-20201121,date_range_0,1,(not set),31,31
0000,20201118-20201121,date_range_0,0,ModeSelectViewController,0,0
0000,20201122-20201128,date_range_0,1,(not set),30,30
0000,20201122-20201128,date_range_0,0,ModeSelectViewController,0,0
0000,20201129-20201205,date_range_0,1,(not set),25,25
0000,20201129-20201205,date_range_0,1,ModeSelectViewController,1,1
0000,20201206-20201212,date_range_0,1,(not set),60,60
0000,20201206-20201212,date_range_0,0,ModeSelectViewController,0,0
0000,20201213-20201217,date_range_0,1,(not set),48,48
0000,20201213-20201217,date_range_0,1,ModeSelectViewController,1,1
0001,20201118-20201121,date_range_0,0.0967741935483871,(not set),31,3
0001,20201118-20201121,date_range_0,0,ModeSelectViewController,0,0
0001,20201122-20201128,date_range_0,0.06666666666666667,(not set),30,2
0001,20201122-20201128,date_range_0,0,ModeSelectViewController,0,0
0001,20201129-20201205,date_range_0,0.16,(not set),25,4
0001,20201129-20201205,date_range_0,0,ModeSelectViewController,0,0
0001,20201206-20201212,date_range_0,0.08333333333333333,(not set),60,5
0001,20201206-20201212,date_range_0,0,ModeSelectViewController,0,0
0002,20201118-20201121,date_range_0,0.06451612903225806,(not set),31,2
0002,20201118-20201121,date_range_0,0,ModeSelectViewController,0,0
0002,20201129-20201205,date_range_0,0.04,(not set),25,1
0002,20201129-20201205,date_range_0,0,ModeSelectViewController,0,0
0003,20201118-20201121,date_range_0,0.0967741935483871,(not set),31,3
0003,20201118-20201121,date_range_0,0,ModeSelectViewController,0,0
0003,20201122-20201128,date_range_0,0.06666666666666667,(not set),30,2
0003,20201122-20201128,date_range_0,0,ModeSelectViewController,0,0
0004,20201118-20201121,date_range_0,0.0967741935483871,(not set),31,3
0004,20201118-20201121,date_range_0,0,ModeSelectViewController,0,0

